key,country,description,designation,points,price,province,region_1,region_2,variety,winery
22581,Argentina,"Packed and concentrated, with blueberry, blackberry, bramble and pastry aromas. Initially, it's jumbled and out of joint, with jumpy acids and heavy flavors of blackberry, grilled meat and herbs, while on the finish, the fruit fades quickly, leaving weight, resin and vanilla.",Bramare Rebon Vineyard,89,55,Mendoza Province,Perdriel,,Malbec,Viña Cobos
22623,Argentina,"Jammy and generous smelling, with pastry and solid black-fruit aromas. Feels good and balanced for a young Malbec, with flavors of sweet plum, blackberry and a medicinal character. Plump and fruity on the finish, and steady wire to wire.",,88,13,Mendoza Province,Mendoza,,Malbec,Lexicon
22634,Argentina,"Vanilla cookies, peach and nectarine aromas work the opening. In the mouth, there's a nice and even flow of acidity and pulpy tropical fruits. Flavors of tangerine, melon and lychee are authentic and well balanced, while the finish is musky, fresh and confirms the wine's high quality.",,88,15,Other,La Rioja,,Torrontés,Recuerdo
22682,Argentina,"Opens with hard-baked berry aromas that turn briary and herbal with airing. Smooth tannins and meaty blackberry flavors are matched by barrel-driven vanilla and spice. Oaky and minty on the finish, with spunk and length.",Single Vineyard Reserva,88,19,Mendoza Province,Agrelo,,Malbec,Lamadrid
22697,Argentina,"Floral red fruit aromas carry a hint of minerality and garrigue. The palate is lively, with good overall balance. Tastes of ripe red plum, raspberry and vanilla, while the finish is light in weight and quick, but satisfying.",,88,30,Mendoza Province,Mendoza,,Malbec,Nice
22699,Argentina,"Pretty aromas of cassis, cherry and sweet cream are inviting. Feels good, with zesty acidity and nice overall balance. Flavors of black currant, Bing cherry and plum cover the bases, while the finish is easygoing. The epitome of everyday Cabernet.",[+],88,10,Mendoza Province,Mendoza,,Cabernet Sauvignon,Santa Julia
22710,Argentina,"Potent Malbec with aromas of leather, bacon, blackberry and smoke. It's thick and dense, but well balanced, with flavors of blackberry, cola, pepper and nutmeg. More smooth and easy than complex, with a long, creamy, sweet finish that cements the wine's character. Probably the best Felino Malbec to date, and a good value at 20 bucks.",Felino,91,20,Mendoza Province,Mendoza,,Malbec,Viña Cobos
22717,Argentina,"Chocolaty and malty to start with, then more meaty, rubbery and traditional on the nose. The palate is round and just right in feel, while the palate is meaty, layered and savory, with juicy acidity and savory undercurrents. Cutting and food-friendly, and very well-made for a $10 wine.",,90,10,Mendoza Province,Mendoza,,Bonarda,Dolce Stefania
22739,Argentina,"Lemon rind and prune are the primary aromas, but there's also a hint of green bean in here. The palate is dark and concentrated but not exactly high voltage in terms of power. Flavors of raisin, cassis, fig and chocolate are rich and ripe, while the finish runs dark. Almost overripe but seemingly more jammy than overdone. Drink now through 2012.",Catena Alta,90,55,Mendoza Province,Mendoza,,Cabernet Sauvignon,Bodega Catena Zapata
22744,Argentina,"Bright, vivid and sizzling on the nose, then zesty, tight and acidic in the mouth, with high-toned plum, berry and red currant flavors offset by a touch of milk chocolate. Long on the finish, but not that nuanced or complex.",Reserve,88,17,Mendoza Province,Mendoza,,Malbec,Nuna
22748,Argentina,"Exotic on the nose, with aromas of raspberry, plum and blueberry. Shows good intensity on the palate, with a solid feel and fresh flavors of blackberry and dark plum. Fresh but smooth on the finish; very good in every way.",,88,12,Mendoza Province,Mendoza,,Bonarda,Sur de los Andes
22749,Argentina,"Plum and berry aromas are straightforward, but also clean and nice. The palate on this wine from San Rafael is focused and orderly, with flavors of red fruits, spice and mild woody notes. Long lasting on the finish, with freshness and just a modicum of tannic bite.",Gran Reserva,88,25,Mendoza Province,San Rafael,,Malbec,Tango Reàl
22751,Argentina,"Warm, slightly leathery and earthy on the nose, with a hint of cheese. Feels full, nice and solid, with decent depth. Flavors of black fruits and pastry are friendly, while the finish is pleasant. Delivers all it can for the price.",,88,11,Mendoza Province,Mendoza,,Malbec,Septima
22757,Argentina,"A big, dark, extracted Malbec with murky lead aromas of Graham cracker and sweet blueberry. The palate is jammy and chunky, with dark, earthy flavors of prune, blackberry and raisin. Finishes a bit pruny, but there's enough acidity to maintain a sense of balance. Drink now.",Mayacaba,88,50,Mendoza Province,Mendoza,,Malbec,Mi Terruño
22770,Argentina,"A mellow, pure Malbec, with soft, subtle aromas of graham cracker, licorice, blueberry and chocolate. The palate has a welcome freshness that melds acidity and ripe fruit into a correct whole, and the flavors of blackberry, spice, coffee and chocolate work great together. Just right for the money, with blackness, richness and balance. contains 90% Malbec with 9% Merlot and a drop of Petit Verdot.",A Lisa,90,23,Other,Río Negro Valley,,Malbec,Bodega Noemía de Patagonia
22774,Argentina,"Round, thick and pulsing, but not too hard, angular or tannic. The nose brings richness, smoke and black fruits, while the palate is juicy, focused and forward, with black-fruit flavor galore and a slight creamy character. Drying and toasty on the finish, with snappy acidity through the final drop.",Broquel,90,17,Mendoza Province,Mendoza,,Bonarda,Trapiche
22785,Argentina,"Slick and attractive on the nose, with licorice, blackberry, cedar and spice aromas. The palate is clean, crisp, linear and tannic, with zesty, lemony oak in support of smoky, charred berry and coffee flavors. Consistent from head to toe, with a full, toasty finish. Drink now through 2012.",Synthesis,90,50,Mendoza Province,Tupungato,,Malbec,Finca Sophenia
22804,Argentina,"Oak is front and center on the bouquet, and with that come accents of dried cheese and sawdust. Feels saturated, layered and tannic in the mouth, with roasted berry, black plum, herb and spice flavors. Feels and tastes a touch resiny on the finish, more evidence of the wine's barrel influence.",Reserva,88,29,Mendoza Province,La Consulta,,Malbec,Altocedro
22819,Argentina,"Fiery, foxy and leathery on the bouquet, with a hint of latex in addition to ripe blackberry aromas. Feels round and fresh, with a complete mix of plum, berry and currant flavors. Finishes tight and legit, with good length and feel.",Felino,88,20,Mendoza Province,Mendoza,,Malbec,Viña Cobos
22820,Argentina,"A very oaky style of Malbec. The bouquet is full of cough drop, milk chocolate and mint, while the palate feels solid and beefy, but resiny. Flavors of berry fruits are softened and sweetened by oak and chocolate, while the finish is woody and tannic.",Gran Reserva,88,50,Mendoza Province,La Consulta,,Malbec,Altocedro
22842,Argentina,"A touch raisiny but lusty and rich, with licorice, mint, black plum and fruitcake aromas. The palate is mouthfilling despite rather pointed acidity, and thus the flavors of juicy blackberry, cherry, pepper and coffee are accurate and appropriate. Long, toasty and yet again slightly raisiny on the finish. Drink now; 300 cases made.",Gran Reserva,90,45,Mendoza Province,Mendoza,,Red Blend,Cinco Sentidos
22872,Argentina,"A big wine that handles its 15.3% abv. Smells of pastry, earth and soft berry fruit. Feels round but reticent, with no fire or heat but plenty of blackberry, molasses and coffee. Mellow, toasty and blackened on the finish, with an earthy feel and a baked aftertaste.",,88,15,Mendoza Province,Mendoza,,Malbec,Solsticio
22880,Argentina,"Sweet oak on the nose results in creamy, chocolaty aromas, along with herbal notes, plum and berry. Feels tight but expansive, with solid tannins, bright acids and solid flavors of herbs, berry fruit, cassis, toast and chocolate. Keeps it together on the finish.",Felino,88,20,Mendoza Province,Mendoza,,Cabernet Sauvignon,Viña Cobos
22881,Argentina,"Perfectly good, but seemingly more simple and oily than in the past. Maybe that's just perception, but the perception is that this is a mild, tropically influenced wine with a fleshy body and mild aromas and flavors of lychee, green melon and lime. Finishes short and pithy.",,87,15,Other,Calchaquí Valley,,Torrontés,Colomé
22885,Argentina,"Standard cherry and plum aromas create a straightforward bouquet. The feel is hot and choppy, but there's enough body and balance for it to weigh in properly. Tastes of sweet cassis, kirsch and creamy chocolate, with an oaky finish containing cocoa notes.",Remolinos Vineyard,87,22,Mendoza Province,Agrelo,,Cabernet Sauvignon,Finca Decero
22886,Argentina,"Forceful from the opening, with floral notes, dark oak, shoe polish and char vying with black fruit aromas. Feels both lush and tough, with hard tannins poking through. Tastes of black fruits, cola and heavily toasted oak. Bittersweet on the finish; lusty and black but neither elegant nor light on its feet.",Reserve,87,18,Mendoza Province,Tupungato,,Malbec,Finca Sophenia
22898,Argentina,"After opening with graham cracker, plum and ripe berry, the wine settles into a thick and heavy place that's rich but bordering on cloying. This is a heavy style of Malbec that tastes of ripe black fruits and herbs. It's toasty, full, thick as can be and long on the finish. Drinkable now but could use a couple of more years for everything to mesh.",Noemía,90,108,Other,Río Negro Valley,,Malbec,Bodega Noemía de Patagonia
22900,Argentina,"Heavy and dark, with licorice, fruit syrup and blackberry pie aromas. The palate is lush, deep and chugging along at max ripeness, while the flavor profile pushes blackberry and prune flavors. Roasted and coffee-laden on the finish, with a ripe, ready personality. Drink now.",Gran Guarda,90,50,Mendoza Province,Mendoza,,Malbec,Serrera
22907,Argentina,"Not many 2004 Argentine wines are still on the market, and yet this isn't showing any age. In fact, it's racy and a little sheering, with citric acidity that's keeping it fresh, firm, vital and lively. Flavors of zesty berry fruits come with a touch of oaky vanilla, but not too much. Very nice for a mature blend of Malbec and Merlot.",Encuentro,89,35,Mendoza Province,Mendoza,,Malbec-Merlot,Felipe Rutini
22918,Argentina,"Jammy and dense on the nose, with herbal blueberry and prune aromas. This is powerful Malbec, with meaty, sweet flavors of black fruit, blueberry, dry spice and menthol. The feel is soft and easy, with a finish that is smooth and deep but not overly potent.",Swinto Old Vine,89,35,Mendoza Province,Luján de Cuyo,,Malbec,Belasco de Baquedano
22920,Argentina,"Fruity on the nose, with a friendly mix of pineapple, apple, melon and powdered sugar aromas. Feels smooth and round but not heavy, with good acidity and likable, simple flavors of melon, banana and apple. There's a light note of toast on the finish.",,87,13,Mendoza Province,Mendoza,,Chardonnay,Alamos
22941,Argentina,"Smells cheesy and leathery, with herbal notes. Feels condensed and flat, as if it's collapsing on itself. Flavors of baked berry and prune are dark and typical of very ripe Malbec, while the finish is warm but basic in feel and flavor. Bullish, sweet and heavy. Not Colomé's best effort, especially given the price.",Reserva,87,90,Other,Calchaquí Valley,,Malbec,Colomé
22942,Argentina,"Opens with berry fruit aromas, density and slightly medicinal notes. Feels bright and lively, with ample acidity pushing toasty, lightly herbal flavors of blackberry and plum. Shows mild spice, licorice and barrel notes on the finish, along with herbal notes. Seems like a very good everyday or value-driven choice.",Andean Culture,87,13,Mendoza Province,Mendoza,,Malbec,Maipe
22958,Argentina,"Cedary and more than bit woodsy, with darkness, char and black fruit on the nose. The palate is rich, concentrated and a touch burnt and black, with blackberry, spice, cedar and mossy flavors. Finishes soft, dark and slightly herbal. Nicely done.",Reserve,89,18,Mendoza Province,Tupungato,,Malbec,Finca Sophenia
22987,Argentina,"Light oak aromas blend nicely with white flower scents and peach notes. The palate is round, smooth and honest, with plump flavors of vanilla, pear and melon. Oaky on the finish, then dry and toasty. Nice for a warm-weather Chard.",Felino,87,19,Mendoza Province,Perdriel,,Chardonnay,Viña Cobos
22988,Argentina,"Concentrated aromas of blackberry come with leather and dried-cheese scents. The palate is full in depth and solid in feel, with flavors of creamy oak, medicinality and blackberry. Feels rich, grabby and tastes resiny on the finish, but there's enough solid black fruit to override the oak.",Año Cero,87,19,Mendoza Province,La Consulta,,Malbec,Altocedro
22989,Argentina,"Honest plum and berry aromas get it going, followed by a fresh, comfortable palate with raspberry and plum flavors and nonpushy tannins. Feels entirely clean, with a pleasant red-fruit aftertaste. Everyday Malbec that gets it right.",,87,8,Other,San Juan,,Malbec,Arge & Tina
22996,Argentina,"Fresh, clean and pure, with standard dark berry aromas. Feels round, creamy and chewy, while the flavors tend towards black fruits and no shortage of oak. Tastes toasty and feels resiny on the finish, with vanilla and berry syrup filling up the aftertaste.",Altosur,87,12,Mendoza Province,Tupungato,,Malbec,Finca Sophenia
23022,Argentina,"Meaty, dense and rich aromas, with driving scents of prune, licorice, blackberry and cola. The palate is healthy and rich, and it keeps in step with flavors of blackberry, dark plum and savory spice. Finishes lightly roasted and dark, with a saucy aftertaste that separates it from the masses. A lusty Malbec to drink now.",Reserva,89,18,Mendoza Province,Mendoza,,Malbec,Ruca Malen
23037,Argentina,"A full wine with smoked meat, licorice and black-fruit jam aromas. The palate is healthy, snappy and tannic, with earthy, full-blast berry flavors that veer toward sweet raisin and syrup but then pull back before falling off the cliff. Saturated, dense and raisiny, but still very rich, real and rewarding.",Andes,89,17,Mendoza Province,Mendoza,,Bonarda,Argie
23043,Argentina,"Black fruit aromas feature a touch of licorice. Feels lively and alert, with edgy acids and juicy, forward flavors of plum and wild berry. Toasty, integrated and spicy on the finish, with pinches of green and black pepper.",Reserva,87,18,Mendoza Province,Mendoza,,Malbec,Terrazas de Los Andes
23048,Argentina,"Fiery smelling at first, with aromas of mint, raw oak, coconut and baked berry fruits. Feels rich almost to the point of syrupy, with spicy, lightly green flavors infiltrating the core of cassis and berry. Finishes herbal and stalky, with a lingering green flavor.",Gran Las Divas Vineyard,87,32,Mendoza Province,Tupungato,,Cabernet Sauvignon,Riglos
23078,Argentina,"More subtle than your average full-force Malbec. This one runs heavy on the cedar, tobacco and rooty characteristics more so than black fruit and power, but there's ripe raspberry and chocolate to satisfy anyone seeking fruit and richness. A definite warm-climate wine, but it's restrained and traditional in style. I like this wine for its individuality.",Roble Reserva,89,18,Other,Argentina,,Malbec,Staphyle
23102,Argentina,"Pure and inviting, with a touch of char and minerality to go with basic plum and berry aromas. Feels good and grabby, with flavors of sweet blackberry, cassis, butter and molasses. Creamy, jammy and uncomplicated on the finish.",Organica Made With Organic Grapes,87,11,Mendoza Province,Mendoza,,Cabernet Sauvignon,Santa Julia
23104,Argentina,"Interesting aromas of graham cracker, pastry, blackberry, dark cherry and tomato all work well together. The palate is full and easy, with some weight to it along with flavors of black plum and berry. Not exuberant on the finish; it ends in mellow, lightly medicinal fashion.",Colección,87,10,Mendoza Province,Mendoza,,Bonarda,Alma del Sur
23109,Argentina,"Bright berry aromas are comported and good. Feels driving and forward, because of its bold acidity and choppy tannins, but tastes nice and dark, with blackberry and cassis flavors. There's a controlled burn to the finish, and overall the wine seems healthy.",Single Vineyard,87,18,Mendoza Province,Agrelo,,Cabernet Sauvignon,Lamadrid
23110,Argentina,"Dense and inky on the bouquet, with blueberry as the core fruit aroma and some grass or alfalfa around the edges. Feels blocky and tannic, with sweet, roasted flavors of black fruits that come with a peppery aftertaste. Full on the finish, with coconut and oaky accents.",Single Vineyard,87,18,Mendoza Province,Agrelo,,Malbec,Lamadrid
23124,Argentina,"Dry and unusual smelling, with baking spice, cinnamon and exotic notes. Not your normal black-fruited bruiser; this wine spreads out in the mouth, with sweet flavors of nutmeg along with dry plum and berry fruit. Lively and warm on the finish, with zest and an herbal element.",,87,18,Mendoza Province,Mendoza,,Malbec,N?made
23137,Argentina,"A funky, individual blend of Merlot and Malbec from the Salta region, with its ups and downs. The nose carries patented Salta aromas of herbs and green bean, but there's berry scents and oaky mocha to offset that. The palate is forward and shows choppy tannins, while it tastes sweet, herbal and dark. As stated, this is a wine with virtues and pitfalls.",Ciclos,88,30,Other,Salta,,Malbec-Merlot,Michel Torino
23138,Argentina,"Controlled on the nose by blackberry, mint, menthol and fire. Like the 2008, this is not the easiest road to run, but it is a blast of penetrating blackberry, boysenberry, heat, spice and dark minty length. Tasty but tough, with the roughness and quality meeting in the middle. Drink in a couple of years.",Don David Reserve,88,17,Other,Cafayate,,Tannat,Michel Torino
23153,Argentina,"Now at the end of its peak, this is showing mature lychee, melon and soft-fruit aromas along with citrus, mango and nectarine flavors. It's tasty and pure, with only a slight bit of oily harshness that most Torrontés show. Drink immediately or wait for the 2010.",Classic,88,12,Other,Salta,,Torrontés,Alta Vista
23163,Argentina,"Heavy and brooding, which makes sense seeing that it weighs in at 15% abv. So while it's not exactly ringing with freshness and agility, it scores points for its full-bodied black plum and blackberry flavors, and the oak is well applied. A bit warm and baked, but still good.",Libertad Vineyards,86,14,Mendoza Province,Mendoza,,Cabernet Sauvignon,Benegas
23164,Argentina,"Black fruit aromas and rubber on the nose. Feels good in the mouth, with proper weight and balance. Tastes ripe and fairly sweet; blackberry and dark plum flavors turn peppery with time. Easy to drink Malbec.",,86,13,Mendoza Province,Mendoza,,Malbec,Alberti 154
23167,Argentina,"A little fiery and forced on the nose, but its wild berry and charred aromas it's solid. Feels full and stacked, with plum, cassis, pepper and a mild green element. Smooth in feel on the finish, but herbal tasting.",,86,13,Mendoza Province,Mendoza,,Cabernet Sauvignon,Maipe
23193,Argentina,"A heady wine with mocha, chocolate, balsamic notes and black fruit on the bouquet. At first it seems thick and dumbed down, but it opens up to display bold berry flavors, stewed fruit, chocolate and savory accents. It's just lively enough, but overall this ranks as a saturated, bulky, round wine that falls squarely into the category of New World and ripe.",Cadus Single Vineyard,88,45,Mendoza Province,Mendoza,,Malbec,Nieto Senetiner
23200,Argentina,"Dense, rubbery and solid in terms of black-fruit aromas. In the mouth, it feels right and fades nicely, highlighting healthy, firm blackberry, black olive and herbal flavors. Meets the norms of a very good, commendable Malbec. 14,000 cases made.",Reserva,88,19,Other,Neuquén,,Malbec,Bodega del Fin del Mundo
23202,Argentina,"Like any good Bonarda, this is a tough wine. But on the other hand, it's flush, very dark and full of black-fruit flavors and texture. The nose is piercing but honest, while the palate is big and fleshy, with firm tannins, extract and bright black cherry and blackberry flavors. Thick throughout, with bacony notes to the finish.",Estate Bottled,88,13,Mendoza Province,Mendoza,,Bonarda,Dante Robino
23203,Argentina,"An interesting but questionable value with Patagonian individuality. The nose features clove, wild flowers, leather and hot berry fruit aromas, while the feel is clacky and tannic, and the flavors a little baked and stewy. Raisin, heft and berry soup characteristics make this a ripe, full-bodied force to reckon with.",S,88,60,Other,Neuquén,,Cabernet Sauvignon,Familia Schroeder
23223,Argentina,"Exotic and unusual for value-priced Malbec, with aromas of blueberry and Middle Eastern spice. Feels chunky yet juicy, with good acidity highlighting lightly herbal flavors of plum and tomato. Meaty, round and solid on the finish, with saucy spiciness.",,86,12,Mendoza Province,Mendoza,,Malbec,Rio Perdido
23226,Argentina,"Peach and apple aromas come with a dose of minerality and a kiss of oak. Feels juicy and fruity, with citric acids pushing bright peach, nectarine and apple flavors. Cleansing on the finish, with mild bitterness.",Family,86,10,Mendoza Province,Mendoza,,Chardonnay,Salvatore Principe
23230,Argentina,"Basic apple and straw aromas are not that intense but are, at the very least, open and clean. Feels easygoing and nice, with acidity giving it a lift. Tastes dry, with white pepper dust mixed with tropical fruit flavors. Turns more stalky and waxy on the finish.",Roca,86,11,Mendoza Province,San Rafael,,Chenin Blanc-Chardonnay,Alfredo Roca
23233,Argentina,"Earthy and leathery on the bouquet, with a cooked, charred element. Feels drawing but solid, with choppy tannins and flavors of baked berries, herbs and charred oak. Finishes warm and meaty, with an herbal note.",,86,15,Mendoza Province,Mendoza,,Malbec,Bodega Poesia
23237,Argentina,"Red berry, sweet cherry and ripe plum aromas come with a touch of leather. The palate feels a bit sharp and acidic, with tangy, juicy flavors of plum and wild berry as well as some stalkiness. Cleansing and long on the finish thanks to high acidity.",Andean Culture,86,13,Mendoza Province,Mendoza,,Bonarda,Maipe
23243,Argentina,Opens with aromas of black cherry and waves of resiny oak. Has good body and grabby barrel tannins along with a palate that deals dark berry flavor and even more oakiness. Tastes resiny and saucy on the finish; cleans up as it airs.,Reserva,86,15,Mendoza Province,Mendoza,,Malbec,Sur de los Andes
23248,Argentina,"Fresh and a little confected-smelling, then more citrusy and snappy in the mouth, with pink grapefruit and citrusy flavors that make your lips pucker and your palate come alive. Crisp, zesty and well done for Argentine rosé.",La Flor Malbec,86,14,Mendoza Province,Mendoza,,Rosé,Pulenta Estate
23283,Argentina,"Fruity and friendly on the nose, with composure and solid aromas. Feels both plump and dry, with toasty black-fruit flavors accented by peppery spice that turns slightly bitter on the finish. Good and dark overall, with limited follow-through on the finish.",,86,10,Mendoza Province,Mendoza,,Malbec,Pampano
23296,Argentina,"On the nose, there's an early whiff of nail polish that resolves itself in jammy black fruit aromas. Good on the palate, with just enough acidic grab in front of a full blast of berry flavors and an aftershock of chocolate. Finishes grapy.",Killka Collection,86,15,Mendoza Province,Uco Valley,,Malbec,Salentein
23297,Argentina,"Fleshy peach, melon and pineapple aromas on the nose. Feels lifted and fresh, and decidedly not oaky, with citrusy orange and nectarine flavors. Fruity, round and easy on the finish.",Oak Cask,86,10,Mendoza Province,Mendoza,,Chardonnay,San Felipe
23303,Argentina,"Concentrated and dark upfront, with black fruit, coffee, chocolate and cheese aromas. Full and extracted in the mouth, as flavors of charred wood, blackberry and black pepper take over. Turns hot and darker on the finish, where bitter chocolate and peppercorn flavors rise up.",Reserva,86,20,Mendoza Province,Luján de Cuyo,,Bonarda,Las Perdices
23307,Argentina,"Char and hickory override fruit on the bouquet, while the palate is full, round and falls into form with time in the glass. Tastes of forward oak and spice along with berry and plum fruit. Toasty and warm on the finish, but oaky and resiny.",La Florencia,86,12,Mendoza Province,Luján de Cuyo,,Malbec,Familia Cassone
23321,Argentina,"Despite all the graphics and obscure references on the front and back labels, this is ultimately a very good wine and a value among under-$15 Malbecs. The Three Thieves team has bottled a creamy, oak-rich Malbec with full red-berry, spice and cocoa flavors. It's soft, subtle and smooth, but tastes and finishes properly.",,88,13,Mendoza Province,Mendoza,,Malbec,The Show
23328,Argentina,"A far better wine than the previous vintage. This is big, beefy and clean, with bacon on the nose. The palate is perky, zesty and high in acidity, and thus the flavors of cherry and plum are forward and alert. Finishes with snap and pop as it begs for pizza, grilled chicken or a hamburger off the grill.",,87,9,Mendoza Province,Mendoza,,Bonarda,Espiritu de Argentina
23332,Argentina,"More exotic than many Malbecs, with intriguing aromas of prune, moss and savory berry. The palate has a proper, likeable texture and jammy flavors of black cherry and herbs. Finishes a bit short and hollow, which may be a reflection of tough harvest conditions in 2008.",Remolinos Vineyard,87,20,Mendoza Province,Agrelo,,Malbec,Finca Decero
23345,Argentina,"Smells sort of furry and earthy initially, with notes of graphite and woodspice. Feels narrow and grabby, with pointed acididty framing red plum, cherry and lightly oaky, minty flavors. Fits the definition of good but regular Malbec.",Reserva,86,18,Mendoza Province,Mendoza,,Malbec,Ruca Malen
23348,Argentina,"Inky and superconcentrated on the bouquet, with grapey fruit notes and density to spare. Feels grabby and angular, with some astringency to the tannins and huge flavors of black plum, blackberry and iodine. Thick and sticky on the finish; ripe to the max.",Reserve,86,20,Mendoza Province,Mendoza,,Malbec,Zolo
23351,Argentina,"Jammy and dusty smelling, with black fruit notes, a touch of plastic and mild scratchiness. Feels tight and grating, with red-fruit flavors that are snappy and tempered by sweet oak notes. Finishes scratchy and tannic, with berry, pepper and licorice flavors.",,85,25,Mendoza Province,Mendoza,,Malbec,Doña Silvina
23353,Argentina,"An odd blend of Pinot Noir, Sangiovese and Merlot that starts out with aromas of bramble, brick dust and baked berries. Feels tannic and grabby initially, before spreading out wide and flat. Tastes stewy and herbal, with chocolate and spice notes. Probably strained and strange for the average consumer. 600 cases made.",Blend Edición Limitada,85,22,Mendoza Province,Mendoza,,Red Blend,Cicchitti
23359,Argentina,"A medicinal quality comes at you right away, followed by chocolate-coated cherry, creamy oak and a distant note of paint or chemical. Feels round and voluminous, with minty, rubbery flavors of oaky, berry and chocolate. Finishes dry and oaky, with a buttery aftertaste.",Reserve,85,15,Mendoza Province,Mendoza,,Bonarda,Caligiore
23387,Argentina,"Starts out with leathery, cheesy aromas and then the nose transitions to heft, prune and blackberry. The palate is good but feels a touch flat, with sweet, candied black-fruit flavors. Falls off some on the finish, which tastes slightly milky. Sweet and mostly ripe, but as a whole it doesn't seem to be 100% there.",AR Guentota,87,25,Mendoza Province,Mendoza,,Malbec,Belasco de Baquedano
23403,Argentina,"Oddly perfumed and flowery smelling, with peach and orange notes. Feels jumpy and unfocused, with sweet, almost candied flavors of melon and pineapple. Creamy oak rises up on the finish, where it matches up against stone fruit flavors.",Phebus Reserva,85,17,Mendoza Province,Mendoza,,Chardonnay,Fabre Montmayou
23407,Argentina,"Peach, scented candle wax and matchstick make for a solid bouquet. Feels good, maybe a touch cloying, but not too much. Flavors of crystallized mango and pineapple mix with fresh melon, and the finish is clean. About all you could hope for from an $8 Argentine Moscato.",,85,8,Mendoza Province,Mendoza,,Moscato,Casa de Campo
23414,Argentina,"Crusty, rubbery aromas smell a bit burnt, while leather and berry aromas, rest below the surface. The palate is full, edgy and a little tangy, with red plum, herb and tomato flavors. Mild and saucy tasting on the finish.",Reserva,85,13,Mendoza Province,Mendoza,,Malbec,Tamarí
23415,Argentina,"It opens with raisin and stewed aromas, so its freshness is questionable. In the mouth, it's actually round, subtle and fairly well structured, with oaky vanilla accenting lightly herbal berry and cassis flavors. Herbal as well on the finish, with a lasting flavor of coffee.",Gran Reserva,85,25,Mendoza Province,San Rafael,,Cabernet Sauvignon,Tango Reàl
23416,Argentina,"Opens with minerally, almost metallic aromas, along with rubber and berry mixed in. Feels fresh and ready, with plum, berry and chocolaty flavors. Finishes with a smooth feel, but maybe it could use a bit more cut and tannic structure. A wine that falls squarely in the middle zone.",Clasico,85,18,Mendoza Province,Mendoza,,Malbec,Tierra Prometida
23424,Argentina,"Stalky and strained on the nose, with a burnt-hay aroma to go with more typical tropical fruit and lychee scents. Citrusy and basic, with oily flavors of peach and apple. Chunky on the back end, with heat on the finish",Phebus,85,12,Mendoza Province,Mendoza,,Torrontés,Fabre Montmayou
23449,Argentina,"Jammy and dark, with big berry and coffee aromas. The palate has a hard intensity to it that I haven't seen before from this wine, with bitterness along with black cherry, chocolate and toasty flavors. It's forward, firm and driving, but always hard and angular. In its defense, 2008 was a cool, difficult year with frosts at harvest time.",Ultra,87,24,Mendoza Province,Mendoza,,Malbec,Kaiken
23469,Argentina,"Mild and powdery smelling, with inviting tropical undertones. The palate mixes flesh with freshness, and the flavors of lychee, green melon and white pepper are straight from the textbook. Finishes mildly bitter, which is natural for Mendoza Torrontés.",Grazioso Made with Organically Grown Grapes,85,10,Mendoza Province,Mendoza,,Torrontés,Caligiore
23471,Argentina,"Stalky smelling at first but good on the nose thanks to a solid berry core and leathery accents. Feels fresh and pinched, with medicinal flavors matched by equal amounts of red fruit and oak. Finishes clean but short, with decent weight.",,85,8,Mendoza Province,Mendoza,,Malbec,Casa de Campo
23474,Argentina,"Slightly herbal plum and berry aromas come with a pinch of spice and meatiness. Feels medium-bodied and crisp, with juicy red-fruit flavors of plum, tomato and raspberry. Dries out on the finish, where it becomes more herbal and roasted.",Limited Edition Reserve,85,10,Mendoza Province,Mendoza,,Malbec,Espuela del Gaucho
23484,Argentina,"Floral and citrusy smelling, with a lightness of being. Feels equally lean and light in the mouth, with fresh, floral flavors revolving around lychee and lime. Tropical and basic on the finish, with an easygoing way about it.",,85,9,Mendoza Province,Mendoza,,Chenin Blanc-Chardonnay,Aconga
23485,Argentina,"A little sweet on the nose, with powdered sugar, vanilla and white fruit aromas. Feels foamy but just fresh enough, with apple, melon and controlled stalky flavors. Finishes with dry apple notes. Good for Argentine sparkling; 70% Chardonnay and 30% Chenin Blanc.",Extra Brut,85,15,Mendoza Province,Mendoza,,Sparkling Blend,Hom
23488,Argentina,"Granular and punchy upfront, with heat and animal fur aromas on the nose. Settles with airing, revealing a heavy but solid palate with plenty of oak and candied red-fruit flavors. Falls off on the finish, with mint, resin and herbal notes.",Reserve,85,15,Mendoza Province,Mendoza,,Malbec,Cueva de las Manos
23490,Argentina,"There's more good to this rough and rugged varietal than there is bad. It's hugely fruity, perfectly ripe, colorful and full of cola, coffee, black fruit, rubber and length. It'll definitely last in a cellar, and that can only help soften the punishing tannins and mouthfeel that dominate the current state.",Don David Reserve,87,16,Other,Cafayate,,Tannat,Michel Torino
23505,Argentina,"Dark yet a touch murky on the bouquet, with weight and black-fruit aromas. The palate is plump but healthy, with peppery flavors accenting core blackberry and chocolate. Chunky and proper, if a tad bit bitter on the finish. Gets better as it airs out.",Altosur,87,12,Mendoza Province,Tupungato,,Merlot,Finca Sophenia
23523,Argentina,"Opens with a pinch of green as well as more standard cassis and berry aromas. Borderline sheer in the mouth, with pointed acidity and raspberry and plum flavors. Feels slightly abrasive, but on the plus side it's fresh and juicy.",,85,15,Mendoza Province,Mendoza,,Cabernet Sauvignon,Tapiz
